[2025-08-11 16:00:41] [音频] 回退到虚拟线设备: CABLE Output (VB-Audio Virtual  (index=4)
[2025-08-11 16:00:42] [音频] 音频回调流已启动: index=4, channels=2, wasapi_extra_used=False
[2025-08-11 16:01:13] [系统] 音频监测线程已结束: K3-1 (2- HD Audio Driver for Display Audio)
[2025-08-12 16:24:26] [音频] 回退到虚拟线设备: CABLE Output (VB-Audio Virtual  (index=4)
[2025-08-12 16:24:26] [音频] 音频回调流已启动: index=4, channels=2, wasapi_extra_used=False
[2025-08-12 16:24:28] [系统] 音频监测线程已结束: K3-1 (2- HD Audio Driver for Display Audio)
[2025-08-12 16:24:34] [系统] 音频开始播放
[2025-08-12 16:24:34] [系统] 摄像头检测线程已启动，绘制窗口以关闭结束监控
[2025-08-12 16:24:36] [系统] 黑屏恢复，持续 0.9s
[2025-08-12 16:24:36] [系统] 黑屏恢复，持续 1.0s
[2025-08-12 16:24:36] [系统] 黑屏恢复，持续 1.1s
[2025-08-12 16:24:36] [系统] 黑屏恢复，持续 1.1s
[2025-08-12 16:24:36] [系统] 黑屏恢复，持续 1.3s
[2025-08-12 16:24:36] [系统] 黑屏恢复，持续 1.3s
[2025-08-12 16:24:36] [系统] 黑屏恢复，持续 1.4s
[2025-08-12 16:24:36] [系统] 黑屏恢复，持续 1.5s
[2025-08-12 16:24:36] [系统] 黑屏恢复，持续 1.5s
[2025-08-12 16:24:36] [系统] 黑屏恢复，持续 1.6s
[2025-08-12 16:24:36] [系统] 黑屏恢复，持续 1.6s
[2025-08-12 16:24:36] [系统] 黑屏恢复，持续 1.7s
[2025-08-12 16:24:36] [系统] 黑屏恢复，持续 1.8s
[2025-08-12 16:24:37] [系统] 黑屏恢复，持续 1.9s
[2025-08-12 16:24:37] [系统] 黑屏恢复，持续 1.9s
[2025-08-12 16:24:37] [系统] 黑屏恢复，持续 2.0s
[2025-08-12 16:24:37] [系统] 黑屏恢复，持续 2.0s
[2025-08-12 16:24:37] [系统] 黑屏恢复，持续 2.1s
[2025-08-12 16:24:37] [系统] 黑屏恢复，持续 2.2s
[2025-08-12 16:24:37] [系统] 黑屏恢复，持续 2.3s
[2025-08-12 16:25:19] [系统] 用户关闭了摄像头监控窗口，show_camera_feed 退出
[2025-08-12 16:25:20] [系统] 音频已停止
[2025-08-12 16:25:20] [系统] 摄像头检测线程已结束
[2025-08-12 19:11:55] [系统] 音频开始播放
[2025-08-12 19:11:55] [系统] 摄像头检测线程已启动，绘制窗口以关闭结束监控
[2025-08-12 19:11:57] [系统] 黑屏恢复，持续 0.7s
[2025-08-12 19:11:57] [系统] 黑屏恢复，持续 0.8s
[2025-08-12 19:11:57] [系统] 黑屏恢复，持续 0.9s
[2025-08-12 19:11:57] [系统] 黑屏恢复，持续 0.9s
[2025-08-12 19:11:57] [系统] 黑屏恢复，持续 1.0s
[2025-08-12 19:11:57] [系统] 黑屏恢复，持续 1.1s
[2025-08-12 19:11:57] [系统] 黑屏恢复，持续 1.1s
[2025-08-12 19:11:57] [系统] 黑屏恢复，持续 1.2s
[2025-08-12 19:11:57] [系统] 黑屏恢复，持续 1.3s
[2025-08-12 19:11:57] [系统] 黑屏恢复，持续 1.4s
[2025-08-12 19:11:57] [系统] 黑屏恢复，持续 1.5s
[2025-08-12 19:11:57] [系统] 黑屏恢复，持续 1.5s
[2025-08-12 19:11:58] [系统] 黑屏恢复，持续 1.6s
[2025-08-12 19:11:58] [系统] 黑屏恢复，持续 1.7s
[2025-08-12 19:11:58] [系统] 黑屏恢复，持续 1.7s
[2025-08-12 19:11:58] [系统] 黑屏恢复，持续 1.8s
[2025-08-12 19:11:58] [系统] 黑屏恢复，持续 1.8s
[2025-08-12 19:11:58] [系统] 黑屏恢复，持续 1.9s
[2025-08-12 19:11:58] [系统] 黑屏恢复，持续 2.0s
[2025-08-12 19:11:58] [系统] 黑屏恢复，持续 2.1s
[2025-08-12 19:11:58] [系统] 黑屏恢复，持续 2.1s
[2025-08-12 19:11:58] [系统] 黑屏恢复，持续 2.2s
[2025-08-12 19:11:58] [系统] 黑屏恢复，持续 2.2s
[2025-08-12 19:12:11] [系统] 黑屏恢复，持续 2.2s
[2025-08-12 19:12:11] [系统] 黑屏恢复，持续 2.3s
[2025-08-12 19:12:11] [系统] 黑屏恢复，持续 2.3s
[2025-08-12 19:12:11] [系统] 黑屏恢复，持续 2.4s
[2025-08-12 19:12:11] [系统] 黑屏恢复，持续 2.5s
[2025-08-12 19:12:11] [系统] 黑屏恢复，持续 2.6s
[2025-08-12 19:12:11] [系统] 黑屏恢复，持续 2.6s
[2025-08-12 19:12:11] [系统] 黑屏恢复，持续 2.7s
[2025-08-12 19:12:11] [系统] 黑屏恢复，持续 2.7s
[2025-08-12 19:12:12] [系统] 黑屏恢复，持续 2.8s
[2025-08-12 19:12:12] [系统] 黑屏恢复，持续 2.9s
[2025-08-12 19:12:12] [系统] 黑屏恢复，持续 3.0s
[2025-08-12 19:12:12] [系统] 黑屏恢复，持续 3.0s
[2025-08-12 19:12:12] [系统] 黑屏恢复，持续 3.1s
[2025-08-12 19:12:12] [系统] 黑屏恢复，持续 3.1s
[2025-08-12 19:12:12] [系统] 黑屏恢复，持续 3.2s
[2025-08-12 19:12:12] [系统] 黑屏恢复，持续 3.3s
[2025-08-12 19:12:12] [系统] 黑屏恢复，持续 3.4s
[2025-08-12 19:12:12] [系统] 黑屏恢复，持续 3.4s
[2025-08-12 19:12:12] [系统] 黑屏恢复，持续 3.5s
[2025-08-12 19:12:12] [系统] 黑屏恢复，持续 3.5s
[2025-08-12 19:12:12] [系统] 黑屏恢复，持续 3.6s
